path,country,pages,pypdf_chars,pypdf_lang,pypdf_error,fitz_chars,fitz_lang,fitz_error,verdict
plans/_incoming_for_review/_unknown_language/KOR/940/Jeonju-3rd-Climate-Adaptation-Plan-2025-2029.pdf,KOR,1,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/MEX/8/Mexicali-IMIP-Resiliencia-Urbana.pdf,MEX,5,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/MEX/8/Mexicali-IMIP-Resiliencia-Urbana.pdf,MEX,5,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/PHL/974/QC-Enhanced-LCCAP-2021-2050.pdf,PHL,4,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/PHL/974/QC-Enhanced-LCCAP-2021-2050.pdf,PHL,4,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/TUR/388/mersin-iklim-eylem-ve-uyum-plani-2025-2029.pdf,TUR,86,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/TUR/388/mersin-iklim-eylem-ve-uyum-plani-2025-2029.pdf,TUR,86,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/USA/33/Salt-Lake-County-Climate-Adaptation-Plan-Public-Health.pdf,USA,45,22070,,langdetect: No features in text.,21450,,langdetect: No features in text.,still_unknown
plans/_incoming_for_review/_unknown_language/USA/33/Salt-Lake-County-Climate-Adaptation-Plan-Public-Health.pdf,USA,45,22070,,langdetect: No features in text.,21450,,langdetect: No features in text.,still_unknown
plans/_rejected/_incoming_for_review/_unknown_language/CHN/747/Sichuan-Qinghai-Tibet-Climate-Adaptation-2025-2035.pdf,CHN,18,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_rejected/_incoming_for_review/_unknown_language/CHN/786/henan-14th-five-year-ecology-climate-plan.pdf,CHN,71,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_rejected/_incoming_for_review/_unknown_language/CHN/814/Henan-14th-FYP-Ecological-Protection.pdf,CHN,71,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_rejected/_incoming_for_review/_unknown_language/RUS/472/Tyumen-Region-Environmental-Plan-2021.pdf,RUS,14,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
